STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017
1,Alabama,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747,5444,13070,15297,13714,12377,10821,9687,14202,0.113887997,0.273112198,0.318777223,0.284880636,0.256376795,0.223572671,0.199696631,0.292189456,23,23,23,23,23,23,24,24,24,28,33,27,32,31,32,34,29,34,39,36,36,36,35,35,34
2,Alaska,710249,714015,722259,730825,736760,736759,737979,741522,739795,3766,8244,8566,5935,-1,1220,3543,-1727,0.530236579,1.154597593,1.186001144,0.812095919,-0.000135729,0.165590105,0.480094962,-0.232899361,47,47,47,47,47,48,48,48,48,31,39,41,42,46,42,38,47,2,7,10,21,46,38,22,48
4,Arizona,6392309,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270,14693,58486,78723,71913,90311,95827,106380,107628,0.229854345,0.912845041,1.217587907,1.098879605,1.365013715,1.428881365,1.563891541,1.557874905,16,16,16,15,15,15,14,14,14,11,10,8,9,6,8,7,7,17,15,9,9,7,9,10,6
5,Arkansas,2916031,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279,5706,16903,10568,7572,8020,10826,12605,16048,0.195676932,0.57852572,0.359622138,0.256746896,0.271241012,0.365151106,0.423608343,0.537040142,32,32,32,32,32,32,33,32,32,27,25,36,41,37,31,30,27,26,30,33,39,34,30,25,23
6,California,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653,73172,344964,346352,328377,353895,331166,264032,240177,0.196411077,0.92415041,0.919372445,0.863718005,0.922866105,0.85569784,0.676442398,0.61119221,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,25,14,19,19,16,16,20,21
8,Colorado,5029325,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154,18704,68382,69919,76226,79755,98134,89660,77049,0.371898814,1.354627717,1.366563398,1.469748358,1.515518315,1.836920389,1.648026954,1.393264685,22,22,22,22,22,22,22,21,21,8,9,10,6,8,7,8,8,6,5,6,5,6,4,8,9
9,Connecticut,3574114,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184,6057,11756,5778,4765,-2282,-6326,-6177,499,0.169468573,0.328364204,0.16086073,0.132445545,-0.063345427,-0.175713046,-0.171876383,0.01390869,29,29,29,29,29,29,29,29,29,24,35,44,44,49,49,49,42,28,38,44,42,49,49,47,43
10,Delaware,897936,899712,907884,916868,925114,934805,944107,952698,961939,1776,8172,8984,8246,9691,9302,8591,9241,0.197786925,0.908290653,0.989553732,0.899366103,1.047546573,0.995073839,0.909960418,0.969982093,45,45,45,45,45,45,45,45,45,43,40,40,39,35,33,35,35,24,16,17,17,12,15,15,16
11,District of Columbia,601766,605040,620336,635630,650114,660797,672736,684336,693972,3274,15296,15294,14484,10683,11939,11600,9636,0.544065301,2.528097316,2.465438085,2.27868414,1.643250261,1.806757597,1.724301955,1.408080241,50,50,50,49,49,49,49,49,49,35,28,28,31,34,29,32,34,1,1,1,2,3,6,7,8
12,Florida,18804594,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400,41867,250908,243958,243600,312820,370820,388022,327811,0.222642403,1.331326874,1.277442982,1.259479249,1.597248741,1.863628078,1.91440273,1.586956104,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,19,6,7,6,5,2,3,5
